declon,declat,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,-30153,
-55.17092,-30.77548,
N/A,-30.2461,
-54.87993,-30.24033,
-55.23322,-30.141553,
-52.013611,-31.301944,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
-54.983333,-30.239722,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,-30.239722,
-31.38625,-19.8235,
-47.06,N/A,
N/A,N/A,
N/A,N/A,
-48.099722222222,-21.72,
-48.099722222222,-21.72,
-47.06,N/A,
N/A,N/A,
-49.13,-22.41,
-47.209722222222,-23.090277777778,
-40.2,-20.1833333333333,
-47.7635,-22264,
-47.791302,-22.276699,
-47.891201,-22.3885,
-47.699101,-22.2862,
-47.844398,-22.2987,
-47.765701,-22.413799,
-47.783299,-24.049999,
-49.8167,-21.483299,
-49.783299,-21.5,
-47.333301,-21.016701,
-47.400002,-21.049999,
-48.133301,-22.049999,
-48.016701,-22.1,
-48.200001,-22.116699,
-47.900002,-21.6667,
-47.866699,-21.700001,
-49.366699,-21.549999,
-47.466701,-21.1833,
-47.450001,-21.1833,
-46.783299,-30.516701,
-48.883301,-24.133301,
-49.116699,-24.233299,
-49.200001,-24.233299,
-47.666699,-23.4,
-46.883301,-23.200001,
-48.233299,-22.25,
-46.900002,-24.233299,
-46.533299,-23.4667,
-46.805599,-24.216101,
-47.780602,-20.5061,
-49.4897,-23.7078,
-46.680801,-22.6819,
-50.049999,-21.201099,
-46.6339,-23.550301,
-45.070801,-23.433901,
-48.462766,-23.344612,
-48.462766,-23.344612,
-45.5105885243,-23.3568412574,
-45.5451688973,-23.1055386564,
-45.33298,-23.336155,
-46.9454,-23.714899,
-47.799999,-21.5833,
-47.9622,-25.1084,
-47.9622,-25.1084,
-47.000801,-24.313101,
-47.242802,-23.957399,
N/A,N/A,
-40.600278,-19.935556,
-40.600278,-19.935556,
N/A,N/A,
-40.600278,-19.935556,
-41.184722,-20.603611,
N/A,N/A,
-40.426111,-20.602778,
-41.713056,-19.800833,
-40.426111,-20.602778,
-40.2,-20.1833333333333,
N/A,N/A,
-73.2666666666667,-7.38333333333333,
-72,4,
-71.78,10.98,
-67.77,10.4,
-67.77,10.4,
-78165,-4.44167,
-57.99443,-15.47503,
-62764539,-10221,
-62.737967,-10.246353,
-62.720917,-10.249189,
-62.720917,-10.249189,
-62.792903,-10.199417,
-56.4,-16.316667,
-56.4,-16.316667,
-56.4,-16.316667,
-56.4,-16.316667,
-56.722722,-16.541944,
-56.152222,-19.577778,
-63.012419,-9.997808,
-63.007992,-10.003831,
-62.898928,-10.123639,
-62.973506,-10.066436,
-62.973506,-10.085486,
-62.974778,-10.047336,
-56797,-19.061903,
-56797,-19.061903,
-56797,-19.061903,
-56797,-19.061903,
-38.542778,-3.718333,
-38.542778,-3.718333,
-56.174972,-16.686278,
-56.263582,-16.679027,
-56.210237,-16.350687,
-56.154376,-16.670122,
-56.280276,-16.588476,
-56.280032,-16.588394,
-56.179218,-16.724863,
-56.295733,-16.680883,
-48.969444,-28.586667,
-40.076111,-19.437222,
-49.951294,-25.067403,
-53.487153,-30.456219,
-52.866201,-5.910199,
-63.019722,-9.208611,
-52.796338,-5.893881,
-41.804333,-2.843361,
-39.416667,-7.958333,
-44.617083,-22.887722,
-41.417306,-2.928056,
-46.326944,-22.306944,
-46328333,-22305833,
-35144722,-6740556,
-51.35,-29.733333,
-51.35,-29.733333,
-54.55,-25.433333,
-52.261358,-15.892806,
-47.95,-24.066667,
-54.488106,-25.619181,
-54.334807,-25.525466,
-54.334807,-25.525466,
-54.48903,-25.619332,
-54.487563,-25.617985,
-54.337763,-25.522288,
-54.337763,-25.522288,
-54.488106,-25.619181,
-54.488086,-25.618749,
-54.487563,-25.617985,
-54.337076,-25.527254,
-54.48903,-25.619332,
-54.337763,-25.522288,
-54.488086,-25.618749,
-54.334807,-25.525466,
-54.334807,-25.525466,
-54.358504,-25.495016,
-54.358504,-25.495016,
-54.487605,-25.618587,
-54.487558,-25.618268,
-54.337763,-25.522288,
-54.337763,-25.522288,
-54.398969,-30.319253,
-53.596011,-28.755314,
-55.884667,-29.824778,
-55855,-29.809361,
-47.307021,-23.938888,
-48.157778,-22.108056,
-48.155833,-22.103611,
-42.777837,-22.031451,
-44.87975,-20.891333,
-54.48903,-25.619332,
-54.48903,-25.619332,
-54.337076,-25.527254,
-54.487558,-25.618268,
-54.358504,-25.495016,
-54.358504,-25.495016,
-54.358504,-25.495016,
-54.488086,-25.618749,
-54.487563,-25.617985,
-54.487605,-25.618587,
-54.334807,-25.525466,
-54.334807,-25.525466,
-54.334807,-25.525466,
-54.337763,-25.522288,
-54.337763,-25.522288,
-54.337763,-25.522288,
-54.337763,-25.522288,
-54.337763,-25.522288,
-54.488086,-25.618749,
-54.488086,-25.618749,
-46.75,-3.75,
-48.571136,-27.391428,
-47.865028,-21.157442,
-46.327239,-22.308233,
-46.329028,-22.306464,
-46.327239,-22.308233,
-46.328481,-22.30755,
-46.329028,-22.306464,
-46.327522,-22.307511,
-46.327239,-22.308233,
-46.329028,-22.306464,
-46.327239,-22.308233,
-46.328481,-22.30755,
-46.329028,-22.306464,
-46.327522,-22.307511,
-46.327342,-22.307631,
-46.327342,-22.307631,
-46.327522,-22.307511,
-46.327239,-22.308233,
-46.327239,-22.308233,
-52.261356,-15.892806,
